Address,Values,,,Description,,
726-29-02,xxxx,x*xx,xxxx,"Park Lamps Body Cfg: 0=Position_Only, 1=Stop_Only",,
726-29-02,xxxx,xxx*,xxxx,"Hazard Switch Type: 0=Latching, 1=Momentary",,
726-29-02,xxxx,xxxx,x*xx,"Turn Signal Switch Cfg: 0=Latching, 1=Momentary",,
726-30-01 ,x*xx,xxxx,xxxx,"Global Close Cfg: 0=disable, 1=both, 2=key, 3=remote",DanMc85's findings,
726-30-01 ,xxx*,xxxx,xxxx,"Global Open Cfg: 0=disable, 1=both, 2=key, 3=remote",,
726-30-02,0000,0000,005F,,,
726-31-01,x*xx,xxxx,xxxx,Ajar Color Cfg (sets the color of the ambient LED for the door open),,
,,,,"0=Ice Blue - Ford, 1=Orange - Ford, 2=Soft Blue - Ford, 3=Red - Ford (F150 default), 4=Green - Ford, 5=Blue - Ford, 6=Purple - Ford, 7=White - Lincoln, 8=Amber - Lincoln, 9=Teal - Lincoln, A=Red - Lincoln, B=Blue - Lincoln, C=Green - Lincoln, D=Lilac - Lincoln, E=Yellow - Non-Standard, F=Ice Blue - Non-Standard",flsdiver's findings,
726-31-01,xxx*,xxxx,xxxx,"Ambient Lighting Cfg: 0=Amb only, 1=disabled, 2=Welcome/Farewell and Amb, 3=Welcome/Farewell only",,
726-31-01,xxxx,x*xx,xxxx,"Courtesy Lamps Cfg: 0=immediate, 1=theater dimming",,
726-31-02,xxx*,xxxx,xxxx,"Door Lock Indication Cfg: 0=null, 1=common, 2=individual",,
726-31-02,xxxx,x*xx,xxxx,Ambient Lighting Entry Color (when you enter/exit vehicle - independent of color selected on APIM screen) Note: Using E or F for entry color will set ambient lighting to Ice Blue and render APIM color selection irrelevent.,* any value greater than 7 requires color palette on APIM switched to Lincoln Splash Screen Brand,
,,,,"0=Ice Blue - Ford, 1=Orange - Ford, 2=Soft Blue - Ford, 3=Red - Ford (F150 default), 4=Green - Ford, 5=Blue - Ford, 6=Purple - Ford, 7=White - Lincoln, 8=Amber - Lincoln, 9=Teal - Lincoln, A=Red - Lincoln, B=Blue - Lincoln, C=Green - Lincoln, D=Lilac - Lincoln, E=Yellow - Non-Standard, F=Ice Blue - Non-Standard",flsdiver's findings,
726-31-02,xxxx,07xx,xxxx,Lincoln Ambient Lighting Colors - Fixes Incorrect Color Choices When Using Lincoln Theme,DanMc85's findings,
726-31-02,xxxx,xxx*,xxxx,Entry Int Cfg,,
726-31-02,xxxx,xxxx,**xx,NLI DayTime Cfg (%),,
726-32-01,**xx,xxxx,xxxx,NLI NightTime Cfg (%),,
726-32-01,xxx*,xxxx,xxxx,"NLI Inferred Switch Cfg: 0=inferred, 1=switched",,
726-32-01,xxxx,x*xx,xxxx,"Police Dark Car: 0=null, 1=dark",,
726-32-01,xxxx,xxx*,xxxx,"Switch Type Cfg: 0=none, 1=1 button, 2=2 button, 3=3 button",,
726-32-01,xxxx,xxxx,**xx,Approach Light Show Max Time (seconds converted to hex),,
726-32-02,xx**,xxxx,xxxx,Courtesy Lamp ramp down duration (seconds converted to hex),,
726-32-02,xxxx,xx**,xxxx,Courtesy Lamp ramp up duration (seconds converted to hex),,
726-32-02,xxxx,xxxx,x*xx,Puddle Ramp Max PWM Cfg,,
726-33-01,x*xx,xxxx,xxxx,"Courtesy Wipe Enable Cfg: 0=disable, 1=enable",,
726-33-01,xxx*,xxxx,xxxx,"Courtesy Wipe Time Cfg: 0=1 second, 1=2 seconds, 2=3 sec, 3=4 sec",,
726-33-01,xxxx,x*xx,xxxx,"Initial Auto Wipe on Reset Cfg: 0=disable, 1=enable",,
726-33-01,xxxx,xxx*,xxxx,"Initial Off to Auto Wipe Cfg: 0=disable, 1=enable",,
726-33-02,0000,0000,0062,,,
726-34-01,x*xx,xxxx,xxxx,LINsel CSM Cfg,,
726-34-01,xx**,xxxx,xxxx,LINsel RVC Cfg,,
726-34-01,xxxx,x*xx,xxxx,"Rain Sensing Windshield Wipers:0=disabled, 1=enabled",,
726-34-01,xxxx,xxx*,xxxx,RainSensorID Cfg,,
726-34-01,xxxx,xxxx,x*xx,"Rear Wipe Liftgate Ajar Enable Cfg: 0=disabled, 1=enabled",,
726-34-02,x*xx,xxxx,xxxx,"Rear Wipe Pos1 Cfg: 0=10 seconds, 1=8 seconds",,
726-34-02,xxx*,xxxx,xxxx,"Rear Wipe Pos2 Cfg: 0=5 seconds, 1=continuous",,
726-34-02,xxxx,x*xx,xxxx,"Rear Wipe Reverse Wipe Cfg: 0=disabled, 1=enabled",,
726-34-02,xxxx,xxxx,x*xx,"Speed dependent wipers: 1=enabled, 0=disabled",,
726-35-01,x*xx,xxxx,xxxx,"Wash Before Wipe Time Cfg: 0=100ms, 1=250ms, 2=400ms, 3=550ms",,
726-35-01,xxx*,xxxx,xxxx,Windshield Type Cfg,,
726-35-01,xxxx,x*xx,xxxx,"CSM WinStat Cfg: 0=disable, 1=enable",,
726-35-01,xxxx,xxx*,xxxx,LINsel EXEEL Cfg,,
726-35-01,xxxx,xxxx,x*xx,LINsel FEEL Cfg,,
726-35-02,**xx,xxxx,xxxx,Stat Seq Time Cfg,,
726-35-02,xxx*,xxxx,xxxx,"Static Seq Cfg: 1=enabled, 0=disabled",,
726-36-01,x*xx,xxxx,xxxx,"Child Lock Cfg: 0=disabled, 1=enabled",,
726-36-01,xxx*,xxxx,xxxx,Child Lock DCU Enable Cfg,,
726-36-01,xxxx,x*xx,xxxx,"Console Lock Cfg: 0=disable, 1=enable",,
726-36-01,xxxx,xxx*,xxxx,Crash Unlock Inhibit Cfg,,
726-36-01,xxxx,xxxx,x*xx,DCU Rollcode Invalid Time Cfg,,
726-36-02,0002,0000,0067,,,
726-36-02,xxx*,xxxx,xxxx,"FOB Cargo Button Cfg: 0=cargo, 1=rear door, 2=side doors",,
726-36-02,xxxx,x*xx,xxxx,"FOB LG Glass First Press Cfg: 0=disable, 1=enable",,
726-36-02,xxxx,xxx*,xxxx,"Glove Box Release Cfg: 0=disable, 1=enable",,
726-36-02,xxxx,xxxx,x*xx,"Hands Free LGDL Enable Cfg: 0=disable, 1=enable",,
726-37-01,x*xx,xxxx,xxxx,"Keypad Enable Cfg: 0=disabled, 1=enabled",,
726-37-01,xxx*,xxxx,xxxx,"LGG DL Enable Cfg: 0=disable, 1=decklid, 2=liftglass",,
726-37-01,xxxx,xxx*,xxxx,"Panic Activate Cfg: 0=disabed, 1=double press, 2=pulse",DanMc85's findings on 1/4/17,
726-37-01,xxxx,xxxx,x*xx,"PK EnableDisable Cfg: 0=disable, 1=enable",,
726-37-02,x*xx,xxxx,xxxx,"Police Rear Door Cfg: 0=normal, 1=police",,
726-37-02,xxx*,xxxx,xxxx,"Power Lock Enable Cfg: 0=disable, 1=enable",,
726-37-02,xxxx,x*xx,xxxx,"Remote07 Cfg: 0=no action, 1=glass, 2=manual, 3=PDL, 4=power, 5=trunk",setting this to 0 will disable the tailgate release on the fob,
726-37-02,xxxx,xxx*,xxxx,"Remote08 Cfg: 2=no action, 3=RPSD Double",,
726-37-02,xxxx,xxxx,x*xx,"Remote08 Cfg: 2=no action, 3=LPSD Double",,
726-38-01,x*xx,xxxx,xxxx,"RKE Enable Cfg: 0=disable, 1=enable",,
726-38-01,xxx*,xxxx,xxxx,"Smart Unlock Cfg: 0=disable, 1=enable",,
726-38-01,xxxx,x*xx,xxxx,"Tailgate Operation Type Cfg: 0=release, 1=unlock",,
726-38-01,xxxx,xxx*,xxxx,"Valet Mode Cfg: 0=disabled, 1=enabled",,
726-38-01,xxxx,xxxx,**xx,Valet Rollcode Invalid Time Cfg,,
726-38-02,**xx,xxxx,xxxx,,,
726-38-02,xxx*,xxxx,xxxx,"Lock Feedback Horn Cfg: 0=disabled, 1=enabled",,
726-38-02,xxxx,x*xx,xxxx,"Trim Lock Unlock Sequence Cfg: 0=one_stage, 1=two_stage",,
726-38-02,xxxx,xxx*,xxxx,"Auto Relock Time Duration: 0=null, 1=30 seconds, 2=45 seconds",,
726-38-02,xxxx,xxxx,x*xx,Number Valid SLD LockSmplThrshld Cfg (counts),,
726-39-01,****,xxxx,xxxx,Power Point MaxTime Cfg (seconds converted to hex),,
,,,,click here for every possible powerpoint timout value,,
726-39-01,xxxx,x*xx,xxxx,"Power Point Timeout Cfg: 0=disabled, 1=enabled",,
726-39-01,xxxx,xxx*,xxxx,"Slave Exists AmbLM Cfg: 0=absent, 1=present",,
726-39-01,xxxx,xxxx,x*xx,"Slave Exists BBS Cfg: 0=absent, 1=present",,
726-39-02,x*xx,xxxx,xxxx,"Slave Exists CSM Cfg: 0=absent, 1=present",,
726-39-02,xxx*,xxxx,xxxx,"Slave Exists ICM Cfg: 0=absent, 1=present",,
726-39-02,xxxx,x*xx,xxxx,"Slave Exists RVC Cfg: 0=absent, 1=present",,
726-39-02,xxxx,xxx*,xxxx,"TwoWay RKE Enable Cfg: 0=disabled, 1=enabled",,
726-40-01,x*xx,xxxx,xxxx,"TPMS Federal Regulation Cfg: 0=Europe, 1=North America",,
726-40-01,xxx*,xxxx,xxxx,"TPMS Number of Tires Cfg: 4=4 tires, 6=6 tires",,
726-40-01,xxxx,**xx,xxxx,TPMS Placard Front Tire Pressure (convert p.s.i. to hex),,
726-40-01,xxxx,xx**,xxxx,TPMS Placard Rear Tire Pressure (convert p.s.i. to hex),,
726-40-01,xxxx,xxxx,x*xx,"TPMS Reassignment Enable Cfg: 0=disable, 1=enable",,
726-40-02,x*xx,xxxx,xxxx,"TPMS Sensor AutoRange Cfg: 0=off, 1=on",,
726-40-02,xxx*,xxxx,xxxx,"TPMS Sensor LoHi Cfg: 0=High, 1=Low",,
726-40-02,xxxx,x*xx,xxxx,"TPMS Sensor Type Cfg: 0=MY06, 1=MY09, 2=MY15",,
726-40-02,xxxx,xxx*,xxxx,"TPMS Auto Learn Enable Cfg: 0=off, 1=on",,
726-40-02,xxxx,xxxx,x*xx,"TPMS Auto Locate Cfg: 0=disable, 1=enable",,
726-41-01,x*xx,xxxx,xxxx,Expected RKE Frequency Cfg,,
726-41-01,xxx*,xxxx,xxxx,Expected RKE ManID Cfg,,
726-41-01,xxxx,x*xx,xxxx,"Fuel Prime on Door Ajar Cfg: 0=no prime, 1=prime",,
726-41-01,xxxx,xxx*,xxxx,"HEV Reset Fix Cfg: 0=force off, 1=ignore",,
726-41-01,xxxx,xxxx,x*xx,"Immobilizer Transceiver Type Cfg: 0=null, 1=ABIC2, 2=ATIC164",,
726-41-02,x*xx,xxxx,xxxx,"Integrated Key Cfg: 0=disabled, 1=enabled",,
726-41-02,xxx*,xxxx,xxxx,"LostPK Exterior Notification Enable Cfg: 0=disabled, 1=enabled",,
726-41-02,xxx*,xxxx,xxxx,"Double Horn Honk: 0=disabled, 1=enabled",,
726-41-02,xxxx,x*xx,xxxx,"PCM Wake on Door Ajar Cfg: 0=no wake, 1=wake",,
726-41-02,xxxx,xxx*,xxxx,"Remote Start Lighting (Parking Lights) Enable Cfg: 0=disabled, 1=enabled",DanMc85's findings,
726-41-02,xxxx,xxxx,x*xx,"Remote Start SBW Ignition Enable Cfg: 0=disabled, 1=enabled",,
726-42-01,x*xx,xxxx,xxxx,"Secure Idle Enable Cfg: 0=disabled, 1=enabled ",,
726-42-01,xxx*,xxxx,xxxx,"Target2 Active Cfg: 0=inactive, 1=active",,
726-42-01,xxxx,x*xx,xxxx,Cornering Time Cfg,,
726-42-02,0000,0000,0071,,,
726-43-01,x*xx,xxxx,xxxx,"Park Brake Chime Cfg: 0=PRNDL, 1=speed",,
726-43-01,xxx*,xxxx,xxxx,"Park Brake Type Cfg: 0=electric, 1=mechanical",,
726-43-02,0000,0000,0072,,,
726-44-01,x*xx,xxxx,xxxx,"ABS Avail Cfg: 0=absent, 1=present",,
726-44-01,xxx*,xxxx,xxxx,"ACM Avail Cfg: 0=absent, 1=present",,
726-44-01,xxxx,x*xx,xxxx,"AHCM Avail Cfg: 0=absent, 1=present",,
726-44-01,xxxx,xxx*,xxxx,"ALM Conditioned Power Circuit Cfg: 0=not used, 1=used",,
726-44-01,xxxx,xxxx,x*xx,"APIM Avail cfg: 0=disabled, 1=enabled",,
726-44-02,x*xx,xxxx,xxxx,"Backlight Dim Open DTC Cfg: 0=not used, 1=used",,
726-44-02,xxx*,xxxx,xxxx,"Backlighting LED Circuit Cfg: 0=not used, 1=used",,
726-44-02,xxxx,x*xx,xxxx,"BSI Open DTC Cfg: 0=not used, 1=used",,
726-44-02,xxxx,xxx*,xxxx,"DDM Avail Cfg: 0=absent, 1=present",,
726-44-02,xxxx,xxxx,x*xx,"Diag CEI Mode Cfg: 0=unknown, 1=no readkeys, 2=read keys",,
726-45-01,**xx,xxxx,xxxx,Diag Reset Delay Cfg,,
726-45-01,xxx*,xxxx,xxxx,"Discrete VSPD Circuit Cfg: 0=not used, 1=used",,
726-45-01,xxxx,**xx,xxxx,DRL Lamp Mask Cfg  *allow all DRL choices=7F,DanMc85's findings,
726-45-01,xxxx,xxx*,xxxx,"DRL Relay Circuit Cfg: 0=not used, 1=used",,
726-45-01,xxxx,xxxx,x*xx,"DSM Avail Cfg: 0=absent, 1=present",,
726-45-02,x*xx,xxxx,xxxx,"ECU Drive Circuit Open DTC Cfg: 0=unused, 1=used",,
726-45-02,xxx*,xxxx,xxxx,"FCIM Avail Cfg: 0=absent, 1=present",,
726-45-02,xxxx,x*xx,xxxx,"Fog Lamp Circuit Cfg: 0=unused, 1=used",,
726-45-02,xxxx,xxx*,xxxx,"BCMB Avail Cfg: 0=absent, 1=present",,
726-45-02,xxxx,xxxx,x*xx,"Park Lamps Engine Circuit Cfg: 0=unused, 1=used",,
726-46-01,x*xx,xxxx,xxxx,"HID Shutter Circuit Cfg: 0=unused, 1=used",,
726-46-01,xxx*,xxxx,xxxx,"High Beam Open DTC Cfg: 0=unused, 1=used",,
726-46-01,xxxx,x*xx,xxxx,"High Beam Circuit Cfg: 0=unused, 1=used",,
726-46-01,xxxx,xxx*,xxxx,"IP Release Switch Circuit Cfg: 0=unused, 1=used",,
726-46-01,xxxx,xxxx,x*xx,"Lift Glass Switch Circuit Cfg: 0=unused, 1=used",,
726-46-02,x*xx,xxxx,xxxx,"Low Beam Open DTC Cfg: 0=unused, 1=used",,
726-46-02,xxx*,xxxx,xxxx,"LPDM Avail Cfg: 0=absent, 1=present",,
726-46-02,xxxx,x*xx,xxxx,"NLI LED Circuit Cfg: 0=not used, 1=used",,
726-46-02,xxxx,xxx*,xxxx,"Park Aid Feature Present Cfg: 0=not present, 1=present",,
726-47-01,x*xx,xxxx,xxxx,"Park Lamps Open DTC Cfg: 0=not used, 1=used",,
726-47-01,xxx*,xxxx,xxxx,"PDM Avail Cfg: 0=absent, 1=present",,
726-47-01,xxxx,x*xx,xxxx,"Position Lamp Circuit Cfg: 0=not used, 1=used",,
726-47-01,xxxx,xxx*,xxxx,"Power Point Circuit Cfg: 0=not used, 1=used",,
726-47-01,xxxx,xxxx,x*xx,"PSCM Avail Cfg: 0=absent, 1=present",,
726-47-02,x*xx,xxxx,xxxx,"Puddle Lamp Circuit Cfg: 0=not used, 1=used",,
726-47-02,xxx*,xxxx,xxxx,"Pulse Train Circuit Cfg: 0=not used, 1=used",,
726-47-02,xxxx,x*xx,xxxx,"Rear Turn Lamp Circuit Cfg: 0=not used, 1=used",,
726-47-02,xxxx,xxx*,xxxx,"Reverse Lamp2 Circuit Cfg: 0=not used, 1=used",,
726-48-01,x*xx,xxxx,xxxx,"Reverse Lamp Open DTC Cfg: 0=not used, 1=used",,
726-48-01,xxx*,xxxx,xxxx,"RGTM Avail Cfg: 0=absent, 1=present",,
726-48-01,xxxx,x*xx,xxxx,"RPDM Avail Cfg: 0=absent, 1=present",,
726-48-01,xxxx,xxx*,xxxx,"RTM Avail Cfg: 0=absent, 1=present",,
726-48-01,xxxx,xxxx,x*xx,"SCCM Avail Cfg: 0=absent, 1=present",,
726-48-02,x*xx,xxxx,xxxx,"Slave Exists BMS Cfg: 0=absent, 1=present",disabled auto start/stop - AirborneApe's,
726-48-02,xxx*,xxxx,xxxx,"Slave Exists RSM Cfg: 0=absent, 1=present",,
726-48-02,xxxx,x*xx,xxxx,"Slave Exists SFWM Cfg: 0=absent, 1=present",,
726-48-02,xxxx,xxxx,x*xx,"Stop Position Lamp Circuit Cfg: 0=not used, 1=used",,
726-49-01,x*xx,xxxx,xxxx,"TBM Avail Cfg: 0=absent, 1=present",,
726-49-01,xxx*,xxxx,xxxx,"TCM Avail Cfg: 0=absent, 1=present",,
726-49-01,xxxx,x*xx,xxxx,"Trailer Tow Cfg: 0=no relays, 1=relays",,
726-49-01,xxxx,xxx*,xxxx,"TRM Avail Cfg: 0=absent, 1=present",,
726-49-01,xxxx,xxxx,x*xx,"White Light Circuit Cfg: 0=not used, 1=used",,
726-49-02,x*xx,xxxx,xxxx,"White Light Open DTC Cfg: 0=not used, 1=used",,
726-49-02,xx**,xxxx,xxxx,Expected ALM Nodes Count Cfg1,,
726-49-02,xxxx,**xx,xxxx,Expected ALM Nodes Count Cfg2,,
726-49-02,xxxx,xx**,xxxx,Expected ALM Nodes Count Cfg3,,
726-49-02,xxxx,xxxx,x*xx,"Park Lamps Body Circuit Cfg: 0=not used, 1=used",,
726-50-01,108E,,,Dedicated DRL Lights (LED Light Bars/Strips) - Enables BCM DRL Outputs - C2280F (F-150) Pins 36 (Right) and 40 (Left),<-- this is default value for trucks with stock LEDs,DanMc85's findings
726-50-01,017F,,,DRL disabled,,
726-50-01,0280,,,DRL - low beams (default value for trucks with stock halogens),You need to enable all DRL choices at 726-45-01 for these to work,
726-50-01,0482,,,DRL - front fog lamps,,
726-50-01,0886,,,DRL - front turn lamps,,
726-50-01,209E,,,DRL - high beams,,
726-50-01,40BE,,,DRL - Low Beams and Dedicated DRL (this may get rid of flickering for LED conversions),,
726-51-01,0000,0000,007F,RF Accessory1 (1-3),member i8iridium confirmed these being coded for his FordPass SmartLink module,
726-51-02,0000,0000,0080,,,
726-51-03,0000,0000,0081,,,
726-51-04,0000,0000,0082,,,
726-51-05,0000,0000,83,,,
726-52-01,0000,0000,0080,RF Accessory2 (1-3),,
726-52-02,0000,0000,0081,,,
726-52-03,0000,0000,0082,,,
726-52-04,0000,0000,0083,,,
726-52-05,0000,0000,84,,,
726-53-01,0000,0000,0081,RF Accessory3 (1-3),,
726-53-02,0000,0000,0082,,,
726-53-03,0000,0000,0083,,,
726-53-04,0000,0000,0084,,,
726-53-05,0000,0000,85,,,
726-54-01,0000,0000,0082,RF Accessory4 (1-3),,
726-54-02,0000,0000,0083,,,
726-54-03,0000,0000,0084,,,
726-54-04,0000,0000,0085,,,
726-54-05,0000,0000,86,,,
726-55-01,x*xx,xxxx,xxxx,"Feature Cfg Approach Detection1: 0=disable, 1=enable",Doesn't work on F150s,
726-55-01,xxx*,xxxx,xxxx,"Feature Cfg Approach Detection2: 0=disable, 1=enable",,
726-55-01,xxxx,x*xx,xxxx,"Feature Cfg Approach Detection3: 0=disable, 1=enable",,
726-55-01,xxxx,xxx*,xxxx,"Feature Cfg Approach Detection4: 0=disable, 1=enable",,
726-55-01,xxxx,xxxx,x*xx,"Feature Cfg Approach Detection5: 0=disable, 1=enable",,
726-55-02,x*xx,xxxx,xxxx,"Feature Cfg Welcome Mat1: 0=disable, 1=enable",Doesn't work on F150s,
726-55-02,xxx*,xxxx,xxxx,"Feature Cfg Welcome Mat2: 0=disable, 1=enable",,
726-55-02,xxxx,x*xx,xxxx,"Feature Cfg Welcome Mat3: 0=disable, 1=enable",,
726-55-02,xxxx,xxx*,xxxx,"Feature Cfg Welcome Mat4: 0=disable, 1=enable",,
726-55-02,xxxx,xxxx,x*xx,"Feature Cfg Welcome Mat5: 0=disable, 1=enable",,
726-56-01,x*xx,xxxx,xxxx,"FeatLst to BCM ApproachDetection InitVal: 0=disable, 1=enable",,
726-56-01,xxx*,xxxx,xxxx,"FeatLst to BCM Welcome Mat InitVal: 0=disable, 1=enable",,
726-56-01,xxxx,x*xx,xxxx,"Spotlight Cfg: 0=disable, 1=enable",,
726-56-01,xxxx,xxx*,xxxx,"Ext Courtesty Lamp Cfg: 0=null, 1=ECE Regulation",,
726-56-01,xxxx,xxxx,x*xx,"Feat Cfg Lock Feedback1: 0=disable, 1=enable",,
726-56-02,x*xx,xxxx,xxxx,"Feat Cfg Lock Feedback2: 0=disable, 1=enable",,
726-56-02,xxx*,xxxx,xxxx,"Feat Cfg Lock Feedback3: 0=disable, 1=enable",,
726-56-02,xxxx,x*xx,xxxx,"Feat Cfg Lock Feedback4: 0=disable, 1=enable",,
726-56-02,xxxx,xxx*,xxxx,"Feat Cfg Lock Feedback5: 0=disable, 1=enable",,
726-57-01,x*xx,xxxx,xxxx,"Dome Puddle Selection Cfg: 0=disable both, 1=enable both, 2=enable dome, 3=enable puddle",,
726-57-01,xxx*,xxxx,xxxx,"Headlamp Switch Backlight Cfg: 0=null, 1=unique",,
726-57-01,xxxx,x*xx,xxxx,"NLI Lamp Present Cfg: 0=not present, 1=present",,
726-57-01,xxxx,xxx*,xxxx,"Bed Lamp Cfg: 0=disabled, 1=enabled",,
726-57-01,xxxx,xxxx,x*xx,Ambient Delay Cfg,,
726-57-02,0005,0005,0191,,,
726-58-01,x*xx,xxxx,xxxx,"Feat Cfg Piezo Sounder Feedback1: 0=disabled, 1=enabled",,
726-58-01,xxx*,xxxx,xxxx,"Feat Cfg Piezo Sounder Feedback2: 0=disabled, 1=enabled",,
726-58-01,xxxx,x*xx,xxxx,"Feat Cfg Piezo Sounder Feedback3: 0=disabled, 1=enabled",,
726-58-01,xxxx,xxx*,xxxx,"Feat Cfg Piezo Sounder Feedback4: 0=disabled, 1=enabled",,
726-58-01,xxxx,xxxx,x*xx,"Feat Cfg Piezo Sounder Feedback5: 0=disabled, 1=enabled",,
726-58-02,x*xx,xxxx,xxxx,"Feat Cfg SilentMode1: 0=disabled, 1=enabled",,
726-58-02,xxx*,xxxx,xxxx,"Feat Cfg SilentMode2: 0=disabled, 1=enabled",,
726-58-02,xxxx,x*xx,xxxx,"Feat Cfg SilentMode3: 0=disabled, 1=enabled",,
726-58-02,xxxx,xxx*,xxxx,"Feat Cfg SilentMode4: 0=disabled, 1=enabled",,
726-58-02,xxxx,xxxx,x*xx,"Feat Cfg SilentMode5: 0=disabled, 1=enabled",,
726-59-01,x*xx,xxxx,xxxx,"Snow Plow Mode Cfg: 0=disabled, 1=enabled",,
726-59-01,xxx*,xxxx,xxxx,"FeatLst to BCM Lock Feedback Light InitVal: 0=disabled, 1=enabled",,
726-59-01,xxxx,x*xx,xxxx,"FeatLst to BCM Piezo Sounder Feedback InitVal: 0=disabled, 1=enabled",,
726-59-01,xxxx,xxx*,xxxx,"FeatLst to BCM Silent Mode InitVal: 0=disabled, 1=enabled",,
726-59-02,0000,0000,0088,,,
726-60-01,x*xx,xxxx,xxxx,"Courtesy Lighting Cfg: 0=incandescent, 1=LED",,
726-60-01,xxx*,xxxx,xxxx,"Fuel Pump Relay Connection Cfg: 0=not connected, 1=connected",,
726-60-01,xxxx,x*xx,xxxx,"PU Column Shifter Key Out Inhibit Circuit Cfg: 0=not used, 1=used",,
726-60-01,xxxx,xxx*,xxxx,"RunStart Relay Ext Circuit Cfg: 0=not used, 1=used",,
726-60-01,xxxx,xxxx,x*xx,"Manual LG Release Type Cfg: 0=manual_cinch, 1=manual_only",,
726-60-02,x*xx,xxxx,xxxx,"Demand Lamp Ckt Cfg: 0=not_used, 1=used",,
726-61-01,x*xx,xxxx,xxxx,"EL Ckt Power Usage Cfg: 0=null, 1=Fog_High_Beam, 2=Fog_Low_Beam, 3=Fog_Only, 4=High Beam Only, 5=Low Beam Only",,
726-61-01,xxx*,xxxx,xxxx,"LF RF Position Lamp Ckt Usage Cfg: 0=front, 1=rear",,
726-61-01,xxxx,xx**,xxxx,Signature Ramp Down Duration Cfg,,
726-61-02,**xx,xxxx,xxxx,Signature Ramp Up Duration Cfg,,
726-61-02,xxx*,xxxx,xxxx,"LF DRL Lamp Ckt Cfg: 0=not used, 1=used",,
726-61-02,xxxx,x*xx,xxxx,"RF DRL Lamp Ckt Cfg: 0=not used, 1=used",,
726-61-02,xxxx,xxx*,xxxx,"Front Fog Lamp Cfg: 0=Front_Fog, 1=Turn",,
726-61-02,xxxx,xxxx,x*xx,"TT LR Stop Turn Lamps Cfg: 0=Front_Fog, 1=Stop_Turn",,
726-62-01,**xx,xxxx,xxxx,FadeActive Timeout Cfg,,
726-62-01,xx**,xxxx,xxxx,LDM Init Cfg,,
726-62-01,xxxx,xx**,xxxx,Puddle Ramp Down Duration Cfg,,
726-62-02,**xx,xxxx,xxxx,Puddle Ramp Up Duration Cfg,,
726-62-02,xx**,xxxx,xxxx,Puddle Lamp Max Intensity Cfg,,
726-62-02,xxxx,**xx,xxxx,Ambient Delay Cfg,,
726-62-02,xxxx,xxx*,xxxx,"CargoRamp Cfg: 0=immediate, 1=theater_dimming",,
726-62-02,xxxx,xxxx,x*xx,"PuddleLamp Override Cfg: 0=default, 1=override",,
726-64-01,x*xx,xxxx,xxxx,DBR Customer Selection Cfg,,
726-64-01,xxx*,xxxx,xxxx,DBR Selection Cfg,,
726-64-01,xxxx,x*xx,xxxx,"DBR InCar Cfg: 0=false, 1=true",,
726-64-01,xxxx,xxx*,xxxx,"ECO PIN Cfg: 0=ECO_AllowFullSRC, 1=ECO_Speed_LIM_NoDisch, 2=ECO_Speed_LIM_ConvChg, 3=ECO_ForceConvChg",,
726-64-01,xxxx,xxxx,x*xx,"EngRunRly Enable Cfg: 0=disable, 1=enable",,
726-64-02,x*xx,xxxx,xxxx,"HW PIN Cfg: 0=AllowFullSRC_AllowSS, 1=SRCNoDischarge_AllowSS, 2=ForceConvChg_AllowSS, 3=AllowFullSRC_SSOff, 4=SRCNoDischarge_SSOff, 5=ForceConvChg_SSOff",,
726-64-02,xxx*,xxxx,xxxx,"Batt WCC Duration Crank Enable Cfg: 0=false, 1=true",,
726-65-01,x*xx,xxxx,xxxx,"BCM Child Lock Mode Cfg: 0=disabled, 1=enabled",,
726-66-01,x*xx,xxxx,xxxx,"DoorAjarSwitch Cfg 1: 0=normal_closed, 1=normal_open",,
726-66-01,xxx*,xxxx,xxxx,"DoorAjarSwitch Cfg 2: 0=normal_closed, 1=normal_open",,
726-66-01,xxxx,x*xx,xxxx,"DoorAjarSwitch Cfg 3: 0=normal_closed, 1=normal_open",,
726-66-01,xxxx,xxx*,xxxx,"DoorAjarSwitch Cfg 4: 0=normal_closed, 1=normal_open",,
726-66-01,xxxx,xxxx,x*xx,"DoorAjarSwitch Cfg 5: 0=normal_closed, 1=normal_open",,
726-66-02,x*xx,xxxx,xxxx,"DoorAjarSwitch Cfg 6: 0=normal_closed, 1=normal_open",,
726-67-01,x*xx,xxxx,xxxx,"VehicleDoorsPresent Cfg 1: 0=not present, 1=present",,
726-67-01,xxx*,xxxx,xxxx,"VehicleDoorsPresent Cfg 2: 0=not present, 1=present",,
726-67-01,xxxx,x*xx,xxxx,"VehicleDoorsPresent Cfg 3: 0=not present, 1=present",,
726-67-01,xxxx,xxx*,xxxx,"VehicleDoorsPresent Cfg 4: 0=not present, 1=present",,
726-67-01,xxxx,xxxx,x*xx,"VehicleDoorsPresent Cfg 5: 0=not present, 1=present",,
726-67-02,x*xx,xxxx,xxxx,"VehicleDoorsPresent Cfg 6: 0=not present, 1=present",,
726-68-01,x*xx,xxxx,xxxx,"Passive Smart Unlock Cfg: 0=disable, 1=enable",,
726-68-01,xxx*,xxxx,xxxx,"PowerLockonDoorAjar: 0=not present, 1=present",,
726-68-01,xxxx,x*xx,xxxx,"SLP Transit Cfg: 0=disable, 1=Cabin_All, 2=Cabin_Cargo, 3=Cabin_Front",,
