Address,Byte Values,,,Image Processing Module-A IPMA 706-XX-XX,,Notes
,,,,"440=LDW MyKey Restricted, LFI On, LKA Full, LFI Off","448=LDW MyKey Restricted, LFI On, LKA Full, LFI On",
,,,,"450=LDW MyKey Restricted, LFI On, LKA Full, LFI Last Known","458=LDW MyKey Restricted, LFI On, LKA Full, LFI Invalid",
,,,,"460=LDW MyKey Restricted, LFI On, LKA MyKey Restricted, LFI Off","468=LDW MyKey Restricted, LFI On, LKA MyKey Restricted, LFI On",
,,,,"470=LDW MyKey Restricted, LFI On, LKA MyKey Restricted, LFI Last Known","478=LDW MyKey Restricted, LFI On, LKA MyKey Restricted, LFI Invalid",
,,,,"480=LDW MyKey Restricted, LFI Last Known, LKA Full, LFI Off","488=LDW MyKey Restricted, LFI Last Known, LKA Full, LFI On",
,,,,"490=LDW MyKey Restricted, LFI Last Known, LKA Full, LFI Last Known","498=LDW MyKey Restricted, LFI Last Known, LKA Full, LFI Invalid",
,,,,"4A0=LDW MyKey Restricted, LFI Last Known, LKA MyKey Restricted, LFI Off","4A8=LDW MyKey Restricted, LFI Last Known, LKA MyKey Restricted, LFI On",
,,,,"4B0=LDW MyKey Restricted, LFI Last Known, LKA MyKey Restricted, LFI Last Known","4B8=LDW MyKey Restricted, LFI Last Known, LKA MyKey Restricted, LFI Invalid",
,,,,"4C0=LDW MyKey Restricted, LFI Invalid, LKA Full, LFI Off","4C8=LDW MyKey Restricted, LFI Invalid, LKA Full, LFI On",
,,,,"4D0=LDW MyKey Restricted, LFI Invalid, LKA Full, LFI Last Known","4D8=LDW MyKey Restricted, LFI Invalid, LKA Full, LFI Invalid",
,,,,"4E0=LDW MyKey Restricted, LFI Invalid, LKA MyKey Restricted, LFI Off","4E8=LDW MyKey Restricted, LFI Invalid, LKA MyKey Restricted, LFI On",
,,,,"4F0=LDW MyKey Restricted, LFI Invalid, LKA MyKey Restricted, LFI Last Known","4F8=LDW MyKey Restricted, LFI Invalid, LKA MyKey Restricted, LFI Invalid",
706-03-01,xxx*,xxxx,xx,WS Shed VSS Cfg (Kph),,
,,,,"Note:
Speed definition for 706-03-02 x000 xxxx xx thru 706-03-02 x4F0 xxxx xx.
Replace xxx* xxxx xx with 0 thru 7.","Note:
Speed definition for 706-03-02 x008 xxxx xx thru 706-03-02 x4F8 xxxx xx.
Replace xxx* xxxx xx with 8 thru F.",
,,,,0=0 Kph,8=0 Kph,
,,,,1=2 Kph,8=2 Kph,
,,,,2=4 Kph,A=4 Kph,
,,,,3=6 Kph,B=6 Kph,
,,,,4=8 Kph,C=8 Kph,
,,,,5=10 Kph,D=10 Kph,
,,,,6=12 Kph,E=12 Kph,
,,,,7=14 Kph,F=14 Kph,
706-03-01,xxxx,*xxx,xx,"DAS Feature Restriction (DFR), DAS Feature Init (DFI)",,
,,,,"0=DAS Full, DFI Off","8=DAS MyKey Restricted, DFI Off",
,,,,"2=DAS Full, DFI On","A=DAS MyKey Restricted, DFI On",
,,,,"4=DAS Full, DFI Last Known","C=DAS MyKey Restricted, DFI Last Known",
,,,,"6=DAS Full, DFI Invalid","E=DAS MyKey Restricted, DFI Invalid",
706-03-01,xxxx,x***,xx,Not Defined,,
,,,,,,
706-04-01,**xx,xxxx,xx,"AHB Customer Enabled (ACE), AHB Sensitivity (AS), LA Customer Enabled (LACE), LA Sensitivity (LAS), LDW Haptic Intensity (LHI)",,
,,,,"00=ACE Off, AS Level 1, LACE Off, LAS Level 1, LHI Off","80=ACE On, AS Level 1, LACE On, LAS Level 1, LHI Off",
,,,,"01=ACE Off, AS Level 1, LACE Off, LAS Level 1, LHI Low","81=ACE On, AS Level 1, LACE On, LAS Level 1, LHI Low",
,,,,"02=ACE Off, AS Level 1, LACE Off, LAS Level 1, LHI Medium","82=ACE On, AS Level 1, LACE On, LAS Level 1, LHI Medium",
,,,,"03=ACE Off, AS Level 1, LACE Off, LAS Level 1, LHI High","83=ACE On, AS Level 1, LACE On, LAS Level 1, LHI High",
,,,,"04=ACE Off, AS Level 1, LACE Off, LAS Level 2, LHI Off","84=ACE On, AS Level 1, LACE On, LAS Level 2, LHI Off",
,,,,"05=ACE Off, AS Level 1, LACE Off, LAS Level 2, LHI Low","85=ACE On, AS Level 1, LACE On, LAS Level 2, LHI Low",
,,,,"06=ACE Off, AS Level 1, LACE Off, LAS Level 2, LHI Medium","86=ACE On, AS Level 1, LACE On, LAS Level 2, LHI Medium",
,,,,"07=ACE Off, AS Level 1, LACE Off, LAS Level 2, LHI High","87=ACE On, AS Level 1, LACE On, LAS Level 2, LHI High",
,,,,"08=ACE Off, AS Level 1, LACE LDW, LAS Level 1, LHI Off","88=ACE On, AS Level 1, LACE LDW, LAS Level 1, LHI Off",
,,,,"09=ACE Off, AS Level 1, LACE LDW, LAS Level 1, LHI Low","89=ACE On, AS Level 1, LACE LDW, LAS Level 1, LHI Low",
,,,,"0A=ACE Off, AS Level 1, LACE LDW, LAS Level 1, LHI Medium","8A=ACE On, AS Level 1, LACE LDW, LAS Level 1, LHI Medium",
,,,,"0B=ACE Off, AS Level 1, LACE LDW, LAS Level 1, LHI High","8B=ACE On, AS Level 1, LACE LDW, LAS Level 1, LHI High",
,,,,"0C=ACE Off, AS Level 1, LACE LDW, LAS Level 2, LHI Off","8C=ACE On, AS Level 1, LACE LDW, LAS Level 2, LHI Off",
,,,,"0D=ACE Off, AS Level 1, LACE LDW, LAS Level 2, LHI Low","8D=ACE On, AS Level 1, LACE LDW, LAS Level 2, LHI Low",
,,,,"0E=ACE Off, AS Level 1, LACE LDW, LAS Level 2, LHI Medium","8E=ACE On, AS Level 1, LACE LDW, LAS Level 2, LHI Medium",
,,,,"0F=ACE Off, AS Level 1, LACE LDW, LAS Level 2, LHI High","8F=ACE On, AS Level 1, LACE LDW, LAS Level 2, LHI High",
,,,,"10=ACE Off, AS Level 1, LACE LKA, LAS Level 1, LHI Off","90=ACE On, AS Level 1, LACE LKA, LAS Level 1, LHI Off",
,,,,"11=ACE Off, AS Level 1, LACE LKA, LAS Level 1, LHI Low","91=ACE On, AS Level 1, LACE LKA, LAS Level 1, LHI Low",
,,,,"12=ACE Off, AS Level 1, LACE LKA, LAS Level 1, LHI Medium","92=ACE On, AS Level 1, LACE LKA, LAS Level 1, LHI Medium",
,,,,"13=ACE Off, AS Level 1, LACE LKA, LAS Level 1, LHI High","93=ACE On, AS Level 1, LACE LKA, LAS Level 1, LHI High",
,,,,"14=ACE Off, AS Level 1, LACE LKA, LAS Level 2, LHI Off","94=ACE On, AS Level 1, LACE LKA, LAS Level 2, LHI Off",
,,,,"15=ACE Off, AS Level 1, LACE LKA, LAS Level 2, LHI Low","95=ACE On, AS Level 1, LACE LKA, LAS Level 2, LHI Low",
,,,,"16=ACE Off, AS Level 1, LACE LKA, LAS Level 2, LHI Medium","96=ACE On, AS Level 1, LACE LKA, LAS Level 2, LHI Medium",
,,,,"17=ACE Off, AS Level 1, LACE LKA, LAS Level 2, LHI High","97=ACE On, AS Level 1, LACE LKA, LAS Level 2, LHI High",
,,,,"18=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI Off","98=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI Off",
,,,,"19=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI Low","99=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI Low",
,,,,"1A=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI Medium","9A=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI Medium",
,,,,"1B=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI High","9B=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 1, LHI High",
,,,,"1C=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI Off","9C=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI Off",
,,,,"1D=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI Low","9D=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI Low",
,,,,"1E=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI Medium","9E=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI Medium",
,,,,"1F=ACE Off, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI High","9F=ACE On, AS Level 1, LACE LDW+LKA, LAS Level 2, LHI High",
,,,,"20=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI Off","A0=ACE On, AS Level 2, LACE On, LAS Level 2, LHI Off",
,,,,"21=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI Low","A1=ACE On, AS Level 2, LACE On, LAS Level 2, LHI Low",
,,,,"22=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI Medium","A2=ACE On, AS Level 2, LACE On, LAS Level 2, LHI Medium",
,,,,"23=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI High","A3=ACE On, AS Level 2, LACE On, LAS Level 2, LHI High",
,,,,"24=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI Off","A4=ACE On, AS Level 2, LACE On, LAS Level 2, LHI Off",
,,,,"25=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI Low","A5=ACE On, AS Level 2, LACE On, LAS Level 2, LHI Low",
,,,,"26=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI Medium","A6=ACE On, AS Level 2, LACE On, LAS Level 2, LHI Medium",
,,,,"27=ACE Off, AS Level 2, LACE Off, LAS Level 2, LHI High","A7=ACE On, AS Level 2, LACE On, LAS Level 2, LHI High",
,,,,"28=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI Off","A8=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI Off",
,,,,"29=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI Low","A9=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI Low",
,,,,"2A=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI Medium","AA=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI Medium",
,,,,"2B=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI High","AB=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI High",
,,,,"2C=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI Off","AC=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI Off",
,,,,"2D=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI Low","AD=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI Low",
,,,,"2E=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI Medium","AE=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI Medium",
,,,,"2F=ACE Off, AS Level 2, LACE LDW, LAS Level 2, LHI High","AF=ACE On, AS Level 2, LACE LDW, LAS Level 2, LHI High",
,,,,"30=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI Off","B0=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI Off",
,,,,"31=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI Low","B1=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI Low",
,,,,"32=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI Medium","B2=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI Medium",
,,,,"33=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI High","B3=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI High",
,,,,"34=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI Off","B4=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI Off",
,,,,"35=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI Low","B5=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI Low",
,,,,"36=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI Medium","B6=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI Medium",
,,,,"37=ACE Off, AS Level 2, LACE LKA, LAS Level 2, LHI High","B7=ACE On, AS Level 2, LACE LKA, LAS Level 2, LHI High",
,,,,"38=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Off","B8=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Off",
,,,,"39=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Low","B9=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Low",
,,,,"3A=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Medium","BA=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Medium",
,,,,"3B=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI High","BB=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI High",
,,,,"3C=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Off","BC=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Off",
,,,,"3D=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Low","BD=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Low",
,,,,"3E=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Medium","BE=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI Medium",
,,,,"3F=ACE Off, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI High","BF=ACE On, AS Level 2, LACE LDW+LKA, LAS Level 2, LHI High",
,,,,"40=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI Off","C0=ACE On, AS Level 3, LACE On, LAS Level 3, LHI Off",
,,,,"41=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI Low","C1=ACE On, AS Level 3, LACE On, LAS Level 3, LHI Low",
,,,,"42=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI Medium","C2=ACE On, AS Level 3, LACE On, LAS Level 3, LHI Medium",
,,,,"43=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI High","C3=ACE On, AS Level 3, LACE On, LAS Level 3, LHI High",
,,,,"44=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI Off","C4=ACE On, AS Level 3, LACE On, LAS Level 3, LHI Off",
,,,,"45=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI Low","C5=ACE On, AS Level 3, LACE On, LAS Level 3, LHI Low",
,,,,"46=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI Medium","C6=ACE On, AS Level 3, LACE On, LAS Level 3, LHI Medium",
,,,,"47=ACE Off, AS Level 3, LACE Off, LAS Level 3, LHI High","C7=ACE On, AS Level 3, LACE On, LAS Level 3, LHI High",
,,,,"48=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI Off","C8=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI Off",
,,,,"49=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI Low","C9=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI Low",
,,,,"4A=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI Medium","CA=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI Medium",
,,,,"4B=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI High","CB=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI High",
,,,,"4C=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI Off","CC=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI Off",
,,,,"4D=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI Low","CD=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI Low",
,,,,"4E=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI Medium","CE=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI Medium",
,,,,"4F=ACE Off, AS Level 3, LACE LDW, LAS Level 3, LHI High","CF=ACE On, AS Level 3, LACE LDW, LAS Level 3, LHI High",
,,,,"50=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI Off","D0=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI Off",
,,,,"51=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI Low","D1=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI Low",
,,,,"52=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI Medium","D2=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI Medium",
,,,,"53=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI High","D3=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI High",
,,,,"54=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI Off","D4=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI Off",
,,,,"55=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI Low","D5=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI Low",
,,,,"56=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI Medium","D6=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI Medium",
,,,,"57=ACE Off, AS Level 3, LACE LKA, LAS Level 3, LHI High","D7=ACE On, AS Level 3, LACE LKA, LAS Level 3, LHI High",
,,,,"58=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Off","D8=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Off",
,,,,"59=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Low","D9=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Low",
,,,,"5A=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Medium","DA=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Medium",
,,,,"5B=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI High","DB=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI High",
,,,,"5C=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Off","DC=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Off",
,,,,"5D=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Low","DD=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Low",
,,,,"5E=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Medium","DE=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI Medium",
,,,,"5F=ACE Off, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI High","DF=ACE On, AS Level 3, LACE LDW+LKA, LAS Level 3, LHI High",
,,,,"60=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI Off","E0=ACE On, AS Invalid, LACE On, LAS Invalid, LHI Off",
,,,,"61=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI Low","E1=ACE On, AS Invalid, LACE On, LAS Invalid, LHI Low",
,,,,"62=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI Medium","E2=ACE On, AS Invalid, LACE On, LAS Invalid, LHI Medium",
,,,,"63=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI High","E3=ACE On, AS Invalid, LACE On, LAS Invalid, LHI High",
,,,,"64=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI Off","E4=ACE On, AS Invalid, LACE On, LAS Invalid, LHI Off",
,,,,"65=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI Low","E5=ACE On, AS Invalid, LACE On, LAS Invalid, LHI Low",
,,,,"66=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI Medium","E6=ACE On, AS Invalid, LACE On, LAS Invalid, LHI Medium",
,,,,"67=ACE Off, AS Invalid, LACE Off, LAS Invalid, LHI High","E7=ACE On, AS Invalid, LACE On, LAS Invalid, LHI High",
,,,,"68=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI Off","E8=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI Off",
,,,,"69=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI Low","E9=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI Low",
,,,,"6A=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI Medium","EA=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI Medium",
,,,,"6B=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI High","EB=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI High",
,,,,"6C=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI Off","EC=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI Off",
,,,,"6D=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI Low","ED=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI Low",
,,,,"6E=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI Medium","EE=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI Medium",
,,,,"6F=ACE Off, AS Invalid, LACE LDW, LAS Invalid, LHI High","EF=ACE On, AS Invalid, LACE LDW, LAS Invalid, LHI High",
,,,,"70=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI Off","F0=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI Off",
,,,,"71=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI Low","F1=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI Low",
,,,,"72=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI Medium","F2=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI Medium",
,,,,"73=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI High","F3=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI High",
,,,,"74=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI Off","F4=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI Off",
,,,,"75=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI Low","F5=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI Low",
,,,,"76=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI Medium","F6=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI Medium",
,,,,"77=ACE Off, AS Invalid, LACE LKA, LAS Invalid, LHI High","F7=ACE On, AS Invalid, LACE LKA, LAS Invalid, LHI High",
,,,,"78=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Off","F8=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Off",
,,,,"79=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Low","F9=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Low",
,,,,"7A=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Medium","FA=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Medium",
,,,,"7B=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI High","FB=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI High",
,,,,"7C=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Off","FC=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Off",
,,,,"7D=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Low","FD=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Low",
,,,,"7E=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Medium","FE=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI Medium",
,,,,"7F=ACE Off, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI High","FF=ACE On, AS Invalid, LACE LDW+LKA, LAS Invalid, LHI High",
706-04-01,xx*x,xxxx,xx,Driver Assist System Customer Enabled,,
,,,,0=Off,,
,,,,4=On,,
706-04-01,xxx*,**xx,xx,Not Defined,,
706-04-01,xxxx,xx*x,xx,Lane Keeping Switch Status Cfg,,
,,,,0=Off,,
,,,,8=On,,
706-04-01,xxxx,xxx*,xx,Not Defined,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
